Year,Month,Day,Flag Tsunami,Flag Earthquake,Volcano Name,Location,Country,Elevation,Volcano Type,Status,Volcanic Explosivity Index,Volcano : Deaths,Volcano : Deaths Description,Volcano : Missing,Volcano : Missing Description,Volcano : Injuries,Volcano : Injuries Description,Volcano : Damage (in M$),Volcano : Damage Description,Volcano : Houses destroyed,Volcano : Houses destroyed Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Coordinates,Earthquakes : Houses damaged Description,Total Effects : Houses Damaged Description
2000,6,27,Tsunami,Earthquake,Miyake-jima,Izu Is-Japan,Japan,815,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,1,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),,,34.08,139.53,
2006,11,30,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,1,1266,Very Many (~1001 or more deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,1266,Very Many (~1001 or more deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,13257,123685,
2009,3,23,,,Redoubt,Alaska-SW,United States,3108,Stratovolcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,60.48,-152.75,
2016,5,21,,,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,7,Few (~1 to 50 deaths),,,3.0,Few (~1 to 50 deaths),100.0,EXTREME (~$25 million or more),,,7,Few (~1 to 50 deaths),,,3.0,Few (~1 to 50 deaths),100,EXTREME (~$25 million or more),,,3.17,98392,
2018,1,23,,,Kusatsu-Shirane,Honshu-Japan,Japan,2176,Stratovolcano,Historical,,1,Few (~1 to 50 deaths),,,11.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,1,Few (~1 to 50 deaths),,,11.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,36.62,138.55,
2019,7,3,,,Stromboli,Italy,Italy,926,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,38789,15213,
-1860,,,,,St. Helens,US-Washington,United States,2549,Stratovolcano,Historical,6,,,,,,,,,,,,,,,,,,,,,46.2,-122.18,
230,,,,,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,6,,,,,,,,,,,,,,,,,,,,,-38.82,176.0,
1169,2,4,Tsunami,Earthquake,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,,,,,,,,,16000,Very Many (~1001 or more deaths),,,,,,EXTREME (~$25 million or more),,,37734,15004,
1566,10,31,,,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,3,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,31.93,130.87,
1597,1,3,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,-19.7,
1640,,,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,3,5000,Very Many (~1001 or more deaths),,,,,,,,Very Many (~1001 or more houses),5000,Very Many (~1001 or more deaths),,,,,,,,Very Many (~1001 or more houses),-1467,-78442,
1650,9,26,Tsunami,,Santorini,Greece,Greece,329,Shield volcano,Historical,4,120,Many (~101 to 1000 deaths),,,,,,,,,120,Many (~101 to 1000 deaths),,,,,,,,,36404,25396,
1660,11,3,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.63,-19.05,
1672,8,4,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,3,3000,Very Many (~1001 or more deaths),,,,,,,,,3000,Very Many (~1001 or more deaths),,,,,,,,,-7542,110442,
1679,9,21,,Earthquake,Zukur,Red Sea,Yemen,624,Shield volcano,Holocene,,,,,,,,,,,,,,,,,,,,,,14.02,42.75,
1717,2,7,,,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,3,1,Few (~1 to 50 deaths),,,30.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,30.0,Few (~1 to 50 deaths),,,,,31.93,130.87,
1741,8,23,Tsunami,,Oshima-Oshima,Hokkaido-Japan,Japan,737,Stratovolcano,Historical,4,,,,,,,,,,,2000,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),871,Many (~101 to 1000 houses),41.5,139.37,
1753,10,15,,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,64.42,-17.33,
1780,9,9,Tsunami,,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,4,,,,,,,,,,,,,,,,,,,,,31.58,130.67,
1817,,,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,4,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-8125,114042,
1833,11,24,,,Kaba,Sumatra,Indonesia,1952,Stratovolcano,Historical,2,126,Many (~101 to 1000 deaths),,,,,,,,,126,Many (~101 to 1000 deaths),,,,,,,,,-3.52,102.62,
1841,4,,,,Kuchinoerabu-jima,Ryukyu Is,Japan,649,Stratovolcano,Historical,2,,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),30.43,130.22,
1843,2,8,Tsunami,,Liamuiga,W Indies,St. Kitts & Nevis,1156,Stratovolcano,Radiocarbon,0,,,,,,,,,,,,,,,,,,,,,17.37,-62.8,
1871,3,3,Tsunami,,Ruang,Sangihe Is-Indonesia,Indonesia,725,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),400,Many (~101 to 1000 deaths),,,,,,MODERATE (~$1 to $5 million),75,Some (~51 to 100 houses),2.28,125425,
1899,,,,,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,2,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,-4.1,145061,
1900,2,16,,,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,2,2,Few (~1 to 50 deaths),,,3.0,Few (~1 to 50 deaths),,,,,2,Few (~1 to 50 deaths),,,3.0,Few (~1 to 50 deaths),,,,,31.93,130.87,
1928,1,,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,13257,123685,
1937,5,29,Tsunami,Earthquake,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,4,507,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),507,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),-4271,152203,
1946,1,,,,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,31.58,130.67,
1953,6,27,Tsunami,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,270,Complex volcano,Historical,0,,,,,,,,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-2.38,147.35,
1976,8,12,,,Sangay,Ecuador,Ecuador,5230,Stratovolcano,Historical,3,2,Few (~1 to 50 deaths),,,4.0,Few (~1 to 50 deaths),,,,,2,Few (~1 to 50 deaths),,,4.0,Few (~1 to 50 deaths),,,,,-2.03,-78.33,
1977,8,2,,,Kliuchevskoi,Kamchatka,Russia,4835,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,56057,160638,
1981,6,30,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,,200,Many (~101 to 1000 deaths),,,,,,,,,200,Many (~101 to 1000 deaths),,,,,,,,,13257,123685,
1992,5,11,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,1,6,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,6,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,2.78,125.48,
1994,9,19,Tsunami,,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,3,4,Few (~1 to 50 deaths),,,,,86.0,EXTREME (~$25 million or more),,,4,Few (~1 to 50 deaths),,,,,86,EXTREME (~$25 million or more),,,-4271,152203,
1997,1,14,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,2,6,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,6,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,-7542,110442,
2005,1,27,,,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,4,1,Few (~1 to 50 deaths),,,14.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,14.0,Few (~1 to 50 deaths),,,,,-4.1,145061,
2006,3,17,,,Raoul Island,Kermadec Is,New Zealand,516,Stratovolcano,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-29.27,-177.92,
2014,11,23,,,Fogo,Cape Verde Is,Cape Verde,2829,Stratovolcano,Historical,,,,,,,,,MODERATE (~$1 to $5 million),230,Many (~101 to 1000 houses),,,,,,,,MODERATE (~$1 to $5 million),230,Many (~101 to 1000 houses),14.95,-24.35,
2015,7,31,,,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,2,,,,,2.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,,,2.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,-4.1,145061,
1334,,,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-7.93,112308,
1564,12,31,,,Gamkonora,Halmahera-Indonesia,Indonesia,1635,Stratovolcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,1375,127.52,
1711,12,11,,,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,3,3000,Very Many (~1001 or more deaths),,,,,,,,,3000,Very Many (~1001 or more deaths),,,,,,,,,3.67,125.5,
1873,,,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,,9,Few (~1 to 50 deaths),,,,,,,,,9,Few (~1 to 50 deaths),,,,,,,,,40821,14426,
1877,6,25,,,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,4,340,Many (~101 to 1000 deaths),,,,,,,,,340,Many (~101 to 1000 deaths),,,,,,,,,-677,-78436,
1892,6,7,Tsunami,,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,3,1532,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),1532,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),3.67,125.5,
1895,5,22,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-8108,112.92,
1895,6,17,,,Karkar,New Guinea-NE of,Papua New Guinea,1839,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,21,Few (~1 to 50 deaths),,,,,,,,,-4649,145964,
1902,5,20,Tsunami,,Pelee,W Indies,Martinique,1397,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,14.82,-61.17,
1904,2,25,,,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-11.75,43.38,
1906,4,4,Tsunami,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,3,350,Many (~101 to 1000 deaths),,,300.0,Many (~101 to 1000 deaths),,,,,350,Many (~101 to 1000 deaths),,,300.0,Many (~101 to 1000 deaths),,,,,40821,14426,
1928,11,2,,,Etna,Italy,Italy,3350,Stratovolcano,Historical,1,5,Few (~1 to 50 deaths),,,,,,,,,5,Few (~1 to 50 deaths),,,,,,,,,37734,15004,
1929,1,6,,,Calbuco,Chile-S,Chile,2003,Stratovolcano,Historical,3,,,,,,,,,,,,,,,,,,,,,-41326,-72614,
1930,12,18,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,3,1369,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),1109,Very Many (~1001 or more houses),1369,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),1109,Very Many (~1001 or more houses),-7542,110442,
1933,1,8,Tsunami,,Kharimkotan,Kuril Is,Russia,1145,Stratovolcano,Historical,3,,,,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,49.12,154508,
1933,12,24,,,Kuchinoerabu-jima,Ryukyu Is,Japan,649,Stratovolcano,Historical,4,8,Few (~1 to 50 deaths),,,26.0,Few (~1 to 50 deaths),,,,,8,Few (~1 to 50 deaths),,,26.0,Few (~1 to 50 deaths),,,,,30.43,130.22,
1950,8,28,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,1,6,Few (~1 to 50 deaths),,,,,,,,,6,Few (~1 to 50 deaths),,,,,,,,,-8108,112.92,
1972,6,9,,,Fournaise, Piton de la,Indian O-W,Reunion,2631,Shield volcano,Historical,2,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,-21229,55713
1978,1,13,,,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,3,3,Few (~1 to 50 deaths),,,2.0,Few (~1 to 50 deaths),,,,,3,Few (~1 to 50 deaths),,,2.0,Few (~1 to 50 deaths),,,,,42.53,140.83,
1979,7,18,Tsunami,,Iliwerung,Lesser Sunda Is,Indonesia,1018,Complex volcano,Historical,,,,,,,,,,,,1239,Very Many (~1001 or more deaths),,,32.0,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),-8.54,123.59,
1996,9,27,,,Maderas,Nicaragua,Nicaragua,1394,Stratovolcano,Holocene,,6,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,6,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,11446,-85515,
2002,11,3,,,Reventador,Ecuador,Ecuador,3562,Stratovolcano,Historical,4,,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),-78,-77656,
2011,4,,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-1467,-78442,
2016,10,8,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,32.88,131.1,
-1010,,,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,5,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-1467,-78442,
350,,,,,Augustine,Alaska-SW,United States,1252,Lava dome,Historical,,,,,,,,,,,,,,,,,,,,,,59.37,-153.42,
1311,1,18,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,4,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,63.63,-19.05,
1587,,,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,4,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-7542,110442,
1716,7,20,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-7.93,112308,
1729,2,1,,,Bardarbunga,Iceland-NE,Iceland,2000,Stratovolcano,Historical,1,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,64.63,-17.53,
1742,12,9,,,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,3,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,-677,-78436,
1772,5,9,Tsunami,,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,3,35,Few (~1 to 50 deaths),,,,,,,,,35,Few (~1 to 50 deaths),,,,,,,,,0.8,127325,
1775,,,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1580,Stratovolcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,1358,124792,
1840,7,2,,,Ararat,Turkey,Turkey,5165,Stratovolcano,Holocene,3,1900,Very Many (~1001 or more deaths),,,,,,,,,1900,Very Many (~1001 or more deaths),,,,,,,,,39.7,44.28,
1871,12,8,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,3,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,13257,123685,
1874,7,19,,,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,14002,120993,
1883,8,27,Tsunami,,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,6,2000,Very Many (~1001 or more deaths),,,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),36417,Very Many (~1001 or more deaths),,,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),-6102,105423,
1885,4,18,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2,74,Some (~51 to 100 deaths),,,,,,,,,74,Some (~51 to 100 deaths),,,,,,,,,-8108,112.92,
1919,9,29,Tsunami,,Mauna Loa,Hawaiian Is,United States,4170,Shield volcano,Historical,0,,,,,,,,,,,,,,,,,,,,,19475,-155608,
1939,10,13,,,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,1,10,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,10,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-7.2,109.92,
1952,9,23,Tsunami,,Myojun Knoll,Izu Is-Japan,Japan,360,Submarine volcano,Holocene,2,,,,,,,,,,,,,,,,,,,,,32.1,139.85,
1952,,,,,Ambalatungan Group,Luzon-Philippines,Philippines,2329,Compound volcano,Fumarolic,1,12,Few (~1 to 50 deaths),,,,,,,,,12,Few (~1 to 50 deaths),,,,,,,,,17.32,121.1,
1961,1,25,,,Calbuco,Chile-S,Chile,2003,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,-41326,-72614,
1978,9,19,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3,12,Few (~1 to 50 deaths),,,,,,,,,12,Few (~1 to 50 deaths),,,,,,,,,-8108,112.92,
1984,8,15,,,Oku Volc Field,Africa-W,Cameroon,3011,Maar,Radiocarbon,,37,Few (~1 to 50 deaths),,,,,,,,,37,Few (~1 to 50 deaths),,,,,,,,,6.25,10.5,
1986,7,24,,,Stromboli,Italy,Italy,926,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,38789,15213,
1987,12,1,,Earthquake,Sirung,Lesser Sunda Is,Indonesia,862,Complex volcano,Historical,,,,,,,,,,,,125,Many (~101 to 1000 deaths),,,,Many (~101 to 1000 deaths),5,SEVERE (~>$5 to $24 million),237,Many (~101 to 1000 houses),-8.51,124148,
1993,4,19,,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,1,Few (~1 to 50 deaths),,,22.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,22.0,Few (~1 to 50 deaths),,,,,19425,-155292,
1996,4,30,,,Popocatepetl,Mexico,Mexico,5426,Stratovolcano,Historical,3,5,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,5,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,19023,-98622,
2006,7,18,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-1467,-78442,
2010,8,30,,,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,3.17,98392,
2016,6,9,,,Yellowstone,US-Wyoming,United States,2805,Caldera,Tephrochronology,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,44.43,-110.67,
50,,,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,1334,Pyroclastic shield,Historical,6,,,,,,,,,,,,,,,,,,,,,-16.25,168.12,
590,,,,,San Salvador,El Salvador,El Salvador,1893,Stratovolcano,Historical,,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,13736,-89286,
1302,,,,,Ischia,Italy,Italy,789,Complex volcano,Historical,,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,40.73,13897,
1568,,,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,510,Stratovolcano,Historical,3,1001,Very Many (~1001 or more deaths),,,,,,,,,1001,Very Many (~1001 or more deaths),,,,,,,,,-9.13,159.82,
1570,,,,,Mombacho,Nicaragua,Nicaragua,1344,Stratovolcano,Holocene,,400,Many (~101 to 1000 deaths),,,,,,,,,400,Many (~101 to 1000 deaths),,,,,,,,,11826,-85968,
1663,8,16,,,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,5,5,Few (~1 to 50 deaths),,,,,,,,,5,Few (~1 to 50 deaths),,,,,,,,,42.53,140.83,
1693,1,9,,Earthquake,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,37734,15004,
1755,10,17,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,4,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,63.63,-19.05,
1843,8,,,,Lamongan,Java,Indonesia,1651,Stratovolcano,Historical,2,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,-8.0,113342,
1872,4,24,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,3,9,Few (~1 to 50 deaths),,,11.0,Few (~1 to 50 deaths),,,,,9,Few (~1 to 50 deaths),,,11.0,Few (~1 to 50 deaths),,,,,40821,14426,
1878,8,29,Tsunami,Earthquake,Okmok,Aleutian Is,United States,1073,Shield volcano,Historical,2,,,,,,,,,,,,,,,,,,,,,53.42,-168.13,
1913,12,6,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,1334,Pyroclastic shield,Historical,3,21,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,,21,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,,-16.25,168.12,
1949,5,26,,,Purace,Colombia,Colombia,4650,Stratovolcano,Historical,2,17,Few (~1 to 50 deaths),,,,,,,,,17,Few (~1 to 50 deaths),,,,,,,,,2.32,-76.4,
1957,10,,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,2,12,Few (~1 to 50 deaths),,,,,,,,,12,Few (~1 to 50 deaths),,,,,,,,,32.88,131.1,
1963,12,10,,,Irazu,Costa Rica,Costa Rica,3432,Stratovolcano,Historical,3,40,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),400,Many (~101 to 1000 houses),40,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),400,Many (~101 to 1000 houses),9979,-83852,
1971,9,14,,,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,3,10,Few (~1 to 50 deaths),,,,,,,,,10,Few (~1 to 50 deaths),,,,,,,,,14473,-90.88,
1992,4,10,,,Negro, Cerro,Nicaragua,Nicaragua,728,Cinder cone,Historical,3,11,Few (~1 to 50 deaths),,,50.0,Few (~1 to 50 deaths),3.0,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),11,Few (~1 to 50 deaths),,,50.0,Few (~1 to 50 deaths),3,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),12506,-86702
1997,7,12,,,Hakkoda Group,Honshu-Japan,Japan,1585,Stratovolcano,Holocene,,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,40.65,140.88,
1997,9,15,,,Adatara,Honshu-Japan,Japan,1718,Stratovolcano,Historical,,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,37.62,140.28,
1997,11,23,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,32.88,131.1,
2004,1,29,,,Egon,Lesser Sunda Is,Indonesia,1703,Stratovolcano,Historical,1,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-8.67,122.45,
2013,2,,,,Paluweh,Lesser Sunda Is,Indonesia,875,Stratovolcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),-8.32,121708,
2013,9,4,,,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,31.58,130.67,
2015,5,7,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),2.78,125.48,
-1460,,,,,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,6,,,,,,,,,,,,,,,,,,,,,-38.82,176.0,
1000,,,,,Changbaishan,China-E,North Korea,2744,Stratovolcano,Historical,7,,,,,,,,,,,,,,,,,,,,,41.98,128.08,
